MeanRR,SDNN,Label
0.9536,0.2165,0
0.9439,0.2266,0
0.9663,0.2108,0
0.9458,0.2372,0
0.8633,0.2502,0
0.8103,0.1061,0
0.8338,0.1298,0
0.7913,0.0199,0
0.7963,0.0884,0
0.7938,0.1129,0
0.7593,0.0318,0
0.7454,0.0282,0
0.7375,0.0112,0
0.8101,0.1377,0
0.7974,0.1228,0
0.7949,0.1258,0
0.8503,0.1814,0
0.9082,0.2169,0
0.9048,0.1985,0
0.8741,0.1884,0
0.9002,0.1905,0
0.8955,0.2127,0
0.9272,0.2062,0
0.8442,0.1579,0
0.8862,0.1791,0
0.881,0.1805,0
0.8812,0.1748,0
0.9531,0.2082,0
0.9812,0.2154,0
0.9185,0.2076,0
0.9493,0.2108,0
0.8486,0.1388,0
0.8425,0.1401,0
0.8367,0.1023,0
0.8271,0.1247,0
0.8219,0.1141,0
0.8959,0.1754,0
0.858,0.1423,0
0.8439,0.1102,0
0.8682,0.1618,0
0.8726,0.1672,0
0.9073,0.1932,0
0.9308,0.2033,0
0.8199,0.1188,0
0.9342,0.2017,0
0.8445,0.1249,0
0.7923,0.0132,0
0.7935,0.0137,0
0.7933,0.0165,0
0.8624,0.1544,0
0.7863,0.0224,0
0.798,0.0133,0
0.8451,0.1354,0
0.8383,0.1338,0
0.8738,0.1861,0
0.7895,0.0135,0
0.7883,0.0168,0
0.7948,0.015,0
0.852,0.1679,0
0.8045,0.108,0
0.7988,0.093,0
0.7806,0.0114,0
0.7879,0.0153,0
0.8199,0.0979,0
0.7834,0.0117,0
0.7902,0.014,0
0.7868,0.0176,0
0.7851,0.0133,0
0.7774,0.0186,0
0.7942,0.0553,0
0.7802,0.0163,0
0.7918,0.015,0
0.8022,0.0908,0
0.7785,0.0135,0
0.781,0.0112,0
0.7875,0.0885,0
0.786,0.0156,0
0.7787,0.0163,0
0.7805,0.0118,0
0.7734,0.0117,0
0.7796,0.0101,0
0.7723,0.0153,0
0.7951,0.0964,0
0.7772,0.0133,0
0.7662,0.0119,0
0.7724,0.0102,0
0.7754,0.0178,0
0.7755,0.0126,0
0.7754,0.0161,0
0.8011,0.0795,0
0.7759,0.0117,0
0.7733,0.0121,0
0.7691,0.0103,0
0.7922,0.0548,0
0.7773,0.0132,0
0.786,0.0934,0
0.7777,0.0141,0
0.7761,0.0127,0
0.7737,0.0143,0
0.7963,0.099,0
0.7858,0.0101,0
0.7749,0.0121,0
0.7762,0.0145,0
0.7755,0.0162,0
0.7854,0.0143,0
0.805,0.1115,0
0.7754,0.0102,0
0.7734,0.0146,0
0.772,0.0114,0
0.7682,0.016,0
0.7799,0.0146,0
0.7815,0.0179,0
0.7779,0.0112,0
0.7813,0.0157,0
0.7786,0.0117,0
0.7833,0.012,0
0.7816,0.0107,0
0.7725,0.0139,0
0.7778,0.013,0
0.7764,0.0159,0
0.7748,0.0136,0
0.7802,0.015,0
0.7834,0.0157,0
0.7948,0.0908,0
0.784,0.0221,0
0.7937,0.0134,0
0.783,0.015,0
0.7852,0.0176,0
0.8044,0.1008,0
0.7918,0.0962,0
0.7833,0.0159,0
0.8038,0.0894,0
0.8031,0.0855,0
0.7894,0.0117,0
0.7917,0.0126,0
0.815,0.1041,0
0.8019,0.0154,0
0.8224,0.1139,0
0.7916,0.0162,0
0.7901,0.0608,0
0.846,0.1493,0
0.8033,0.0266,0
0.8544,0.1472,0
0.819,0.1061,0
0.7991,0.0248,0
0.8286,0.1034,0
0.8162,0.092,0
0.8342,0.096,0
0.8037,0.0277,0
0.8671,0.1638,0
0.8447,0.1263,0
0.8005,0.0382,0
0.8626,0.1396,0
0.8318,0.1532,0
0.867,0.152,0
0.8599,0.1455,0
0.7959,0.0236,0
0.9556,0.2426,0
0.8686,0.1295,0
0.833,0.1184,0
0.7986,0.0202,0
0.7906,0.0316,0
0.8198,0.0968,0
0.8101,0.0202,0
0.8056,0.029,0
0.8058,0.0223,0
0.8142,0.0217,0
0.8039,0.0181,0
0.8028,0.0257,0
0.8092,0.0155,0
0.8166,0.0717,0
0.8256,0.0608,0
0.8193,0.0862,0
0.8163,0.0157,0
0.8094,0.0261,0
0.8175,0.0275,0
0.8097,0.0202,0
0.8011,0.0147,0
0.8221,0.1157,0
0.7888,0.0182,0
0.7937,0.049,0
0.7708,0.0116,0
0.7905,0.0113,0
0.7986,0.0125,0
0.7967,0.0148,0
0.7888,0.0193,0
0.7849,0.0174,0
0.7891,0.0188,0
0.7868,0.0066,0
0.78,0.0064,0
0.7675,0.0052,0
0.7672,0.014,0
0.7727,0.0189,0
0.8196,0.0996,0
0.786,0.0997,0
0.7877,0.0137,0
0.8075,0.1054,0
0.7871,0.02,0
0.7883,0.0207,0
0.7743,0.0164,0
0.7773,0.009,0
0.7982,0.0902,0
0.7861,0.0086,0
0.801,0.0542,0
0.8056,0.013,0
0.7908,0.0117,0
0.8001,0.0239,0
0.8161,0.0953,0
0.7959,0.011,0
0.7933,0.0159,0
0.8194,0.1074,0
0.8797,0.2035,0
0.81,0.0314,0
0.8012,0.0153,0
0.8063,0.017,0
0.8078,0.0196,0
0.8153,0.0213,0
0.798,0.0159,0
0.8039,0.0134,0
0.8054,0.0144,0
0.8004,0.0187,0
0.8293,0.0974,0
0.7927,0.0162,0
0.8006,0.0164,0
0.7964,0.0143,0
0.8069,0.022,0
0.7908,0.0135,0
0.7949,0.0232,0
0.8031,0.0136,0
0.7961,0.0164,0
0.7977,0.0215,0
0.7903,0.0167,0
0.7902,0.013,0
0.8014,0.0988,0
0.7854,0.0132,0
0.7916,0.0126,0
0.7796,0.0106,0
0.7815,0.0151,0
0.78,0.0108,0
0.7836,0.0191,0
0.8234,0.1582,0
0.7747,0.0984,0
0.9458,0.3143,0
0.894,0.2492,0
0.833,0.1962,0
0.8458,0.2284,0
0.9243,0.2733,0
0.8928,0.2142,0
0.9464,0.2042,0
0.9836,0.1942,0
0.9339,0.1948,0
1.031,0.2391,0
0.8881,0.2055,0
0.8482,0.1705,0
0.9594,0.2291,0
0.998,0.2001,0
1.0315,0.2341,0
0.9327,0.2215,0
0.8512,0.172,0
0.8456,0.1352,0
0.7883,0.0383,0
0.7868,0.0242,0
0.7863,0.0375,0
0.8217,0.0349,0
0.8342,0.1101,0
0.8241,0.0617,0
0.833,0.0398,0
0.832,0.0335,0
0.8353,0.0384,0
0.8153,0.0816,0
0.8128,0.0274,0
0.803,0.0216,0
0.7903,0.0322,0
0.8414,0.0386,0
0.8436,0.0318,0
0.8417,0.0314,0
0.835,0.0244,0
0.8589,0.0478,0
0.8261,0.0294,0
0.8477,0.0477,0
0.835,0.0408,0
0.8395,0.0343,0
0.8468,0.0293,0
0.8391,0.0521,0
0.8744,0.0351,0
0.8873,0.0516,0
0.8664,0.027,0
0.8656,0.0422,0
0.8535,0.0473,0
0.8559,0.0446,0
0.8506,0.0329,0
0.8435,0.0482,0
0.8565,0.0553,0
0.8541,0.0478,0
0.9507,0.2008,0
0.8483,0.0296,0
0.859,0.0272,0
0.8651,0.0315,0
0.8732,0.0371,0
0.8622,0.0437,0
0.8622,0.0437,0
0.8694,0.0332,0
0.8533,0.0387,0
0.8646,0.0555,0
0.88,0.0392,0
0.9516,0.1142,0
0.8983,0.0348,0
0.9029,0.0395,0
0.8783,0.0719,0
0.8937,0.1192,0
0.8625,0.0325,0
0.8797,0.0743,0
0.882,0.0442,0
0.9037,0.1183,0
0.8639,0.0506,0
0.8876,0.0523,0
0.9364,0.0921,0
0.8906,0.0581,0
0.8746,0.0515,0
0.8994,0.0773,0
0.8287,0.1313,0
0.9796,0.2162,0
0.8939,0.1696,0
0.9246,0.221,0
0.9642,0.1961,0
0.9286,0.2538,0
0.9176,0.2084,0
0.8989,0.2248,0
0.9228,0.1844,0
0.9144,0.2033,0
0.9261,0.233,0
0.9478,0.2231,0
0.9498,0.2016,0
0.9799,0.3302,0
0.8225,0.1528,0
0.8338,0.1672,0
1.0712,0.4664,0
0.9879,0.3163,0
1.0077,0.3442,0
0.9323,0.2127,0
0.9657,0.2509,0
0.8243,0.1629,0
1.0284,0.2974,0
0.784,0.154,0
0.9052,0.1878,0
1.0077,0.4089,0
0.9256,0.3671,0
0.9621,0.2764,0
0.9287,0.2275,0
0.8034,0.0624,0
0.7755,0.0587,0
0.9574,0.2998,0
0.9938,0.2542,0
0.9912,0.2754,0
0.9124,0.2285,0
0.8397,0.1823,0
0.9833,0.4127,0
0.8798,0.1907,0
0.8804,0.1834,0
1.0306,0.4619,0
0.8958,0.37,0
0.8065,0.1263,0
0.9319,0.2329,0
1.1906,0.4913,0
0.8749,0.2212,0
1.0542,0.4408,0
0.963,0.2568,0
0.8383,0.2752,0
0.7972,0.0684,0
0.8477,0.147,0
1.0988,0.5071,0
1.0543,0.4343,0
1.1014,0.4336,0
1.199,0.4418,0
1.0301,0.4191,0
0.9653,0.399,0
0.9174,0.1777,0
0.9315,0.2599,0
1.0502,0.2857,0
0.8813,0.1933,0
0.8503,0.1209,0
0.9771,0.3869,0
0.9258,0.1957,0
0.929,0.185,0
0.9038,0.1935,0
0.9301,0.1772,0
0.9292,0.1673,0
0.9709,0.2078,0
0.9818,0.3429,0
0.8892,0.1788,0
1.0232,0.2173,0
0.9427,0.2087,0
0.9135,0.1881,0
0.9775,0.2571,0
0.967,0.2446,0
0.8316,0.1513,0
0.7983,0.0932,0
0.8601,0.2957,0
1.1058,0.3929,0
1.0052,0.3826,0
0.9902,0.2727,0
0.9152,0.2216,0
0.9355,0.2088,0
0.9529,0.2184,0
0.9531,0.2012,0
1.028,0.236,0
1.1197,0.2264,0
1.1284,0.2791,0
1.1426,0.2641,0
0.9218,0.2238,0
1.0133,0.2682,0
0.9868,0.2456,0
1.0326,0.2562,0
1.0152,0.2609,0
0.9964,0.2134,0
0.955,0.236,0
1.1014,0.2266,0
0.98,0.1988,0
0.9458,0.2393,0
1.0601,0.2363,0
0.9803,0.2339,0
1.0504,0.2253,0
1.0317,0.2093,0
0.9837,0.2307,0
1.042,0.2306,0
0.9383,0.2329,0
1.0846,0.2094,0
1.004,0.2161,0
0.9783,0.2479,0
1.022,0.3526,0
0.8712,0.191,0
0.9268,0.2197,0
0.8147,0.2003,0
1.0766,0.2569,0
0.9065,0.2428,0
1.0226,0.2546,0
0.839,0.1639,0
0.8869,0.0612,0
0.8916,0.1655,0
0.8545,0.1844,0
0.8709,0.1436,0
0.8979,0.1385,0
0.8833,0.1072,0
0.8766,0.1438,0
0.8818,0.1109,0
0.8645,0.0287,0
0.848,0.0537,0
0.8842,0.0298,0
